date,float,Close/Last,Open,High,Low
01/11/2022,234.190000000001,15153.45,14919.26,15158.71,14837.63
01/10/2022,191.049999999999,14942.83,14751.78,14953.85,14530.23
01/07/2022,-159.82,14935.9,15095.72,15171.02,14877.63
01/06/2022,56.7100000000009,15080.86,15024.15,15198.45,14914.87
01/05/2022,-446.99,15100.17,15547.16,15586.3,15095.18
01/04/2022,-229.42,15622.72,15852.14,15852.14,15512.41
01/03/2022,100.299999999999,15832.8,15732.5,15832.8,15644.09
12/31/2021,-77.9400000000005,15644.97,15722.91,15777.43,15643.93
12/30/2021,-17.4200000000001,15741.56,15758.98,15868.09,15729.16
12/29/2021,-28.7000000000007,15766.22,15794.92,15821.81,15679.85
12/28/2021,-113.480000000001,15781.72,15895.2,15901.47,15757.07
12/27/2021,174.43,15871.26,15696.83,15871.4,15696.83
12/23/2021,108.58,15653.37,15544.79,15697.98,15528.91
12/22/2021,202.73,15521.89,15319.16,15525.97,15303.06
12/21/2021,200.66,15341.09,15140.43,15349.06,15015.03
12/20/2021,47.9400000000005,14980.94,14933,15007.3,14860.04
12/17/2021,132.91,15169.68,15036.77,15288.78,14960.37
12/16/2021,-448.65,15180.43,15629.08,15633.19,15119.49
12/15/2021,334.870000000001,15565.58,15230.71,15575.76,15055.23
12/14/2021,21.6800000000003,15237.64,15215.96,15317.55,15097.35
12/13/2021,-207.99,15413.28,15621.27,15637.06,15408.25
12/10/2021,1.01000000000022,15630.6,15629.59,15677.6,15477.85
12/09/2021,-203.17,15517.37,15720.54,15796.05,15511.12
12/08/2021,96.3400000000001,15786.99,15690.65,15792.64,15618.88
12/07/2021,176.01,15686.92,15510.91,15720.09,15507.66
12/06/2021,107.52,15225.15,15117.63,15281.99,14931.61
12/03/2021,-343.24,15085.47,15428.71,15470.36,14931.06
12/02/2021,199.5,15381.32,15181.82,15444.54,15150.12
12/01/2021,-498.220000000001,15254.05,15752.27,15816.82,15243.93
11/30/2021,-178.81,15537.69,15716.5,15828.2,15451.39
11/29/2021,63.4099999999999,15782.83,15719.42,15833.11,15644.61
11/26/2021,-172.719999999999,15491.66,15664.38,15731.54,15456.09
11/24/2021,167.35,15845.23,15677.88,15848.56,15591.36
11/23/2021,-34.3600000000006,15775.14,15809.5,15895.86,15601.46
11/22/2021,-266.16,15854.76,16120.92,16212.23,15851.04
11/19/2021,15.2800000000007,16057.44,16042.16,16121.12,16017.23
11/18/2021,20.3199999999997,15993.71,15973.39,16010.88,15848.83
11/17/2021,-52.0500000000011,15921.57,15973.62,15998.57,15909.39
11/16/2021,133.540000000001,15973.86,15840.32,15989.61,15825
11/15/2021,-40.9699999999994,15853.85,15894.82,15918.45,15778.31
11/12/2021,108.339999999998,15860.96,15752.62,15874.57,15705.38
11/11/2021,-47.7999999999993,15704.28,15752.08,15768.03,15695.77
11/10/2021,-131.130000000001,15622.71,15753.84,15867.24,15543.68
11/09/2021,-137.589999999998,15886.54,16024.13,16035.21,15836.68
11/08/2021,-13.3599999999988,15982.36,15995.72,16038.23,15961.81
11/05/2021,-31.9699999999993,15971.59,16003.56,16053.39,15900.78
11/04/2021,90.5699999999997,15940.31,15849.74,15966.09,15827.66
11/03/2021,153.059999999999,15811.58,15658.52,15821.57,15616.44
11/02/2021,65.6200000000008,15649.6,15583.98,15656.6,15569.27
11/01/2021,54.6599999999999,15595.92,15541.26,15598.95,15470.82
10/29/2021,175.099999999999,15498.39,15323.29,15504.12,15323.29
10/28/2021,143.380000000001,15448.12,15304.74,15452.3,15290.31
10/27/2021,-40.1599999999999,15235.84,15276,15364.54,15235.84
10/26/2021,-81.7900000000009,15235.71,15317.5,15384,15198.23
10/25/2021,61.1899999999987,15226.71,15165.52,15259.63,15070.75
10/22/2021,-67.8599999999988,15090.2,15158.06,15193.01,15021.02
10/21/2021,110.900000000001,15215.7,15104.8,15222.25,15094.14
10/20/2021,-38.3199999999997,15121.68,15160,15178.39,15071.15
10/19/2021,55.9600000000009,15129.09,15073.13,15137.85,15049.73
10/18/2021,182.07,15021.81,14839.74,15026.68,14833.28
10/15/2021,6.10000000000036,14897.34,14891.24,14904.98,14847.96
10/14/2021,105.93,14823.43,14717.5,14827.56,14699.52
10/13/2021,34.4699999999993,14571.64,14537.17,14589.28,14471.87
10/12/2021,-73.1700000000001,14465.92,14539.09,14552.71,14441.6
10/11/2021,-53.8799999999992,14486.2,14540.08,14665.99,14482.61
10/08/2021,-115.179999999998,14579.54,14694.72,14699.91,14569.68
10/07/2021,22.2200000000012,14654.02,14631.8,14755.72,14615.14
10/06/2021,212.459999999999,14501.91,14289.45,14509.55,14259.07
10/05/2021,120.969999999999,14433.83,14312.86,14508.65,14299.78
10/04/2021,-237.640000000001,14255.48,14493.12,14499.74,14181.69
10/01/2021,71.7700000000004,14566.7,14494.93,14606.82,14324.01
09/30/2021,-134.02,14448.58,14582.6,14632.36,14444.3
09/29/2021,-102.439999999999,14512.44,14614.88,14676.62,14493.67
09/28/2021,-240.529999999999,14546.68,14787.21,14817.74,14539.88
09/27/2021,15.7899999999991,14969.97,14954.18,15003.16,14864.96
09/24/2021,86.0900000000001,15047.7,14961.61,15067.56,14946.57
09/23/2021,92.2399999999998,15052.24,14960,15085.44,14932.51
09/22/2021,96.2600000000002,14896.85,14800.59,14950.12,14767.01
09/21/2021,-56.960000000001,14746.4,14803.36,14847.03,14696.47
09/20/2021,-44.2399999999998,14713.9,14758.14,14841.82,14530.07
09/17/2021,-119.380000000001,15043.97,15163.35,15166.56,14998.73
09/16/2021,61.8299999999999,15181.92,15120.09,15205.5,15047.14
09/15/2021,90.1900000000005,15161.53,15071.34,15174.38,14984.68
09/14/2021,-130.690000000001,15037.76,15168.45,15181.19,15008.3
09/13/2021,-105.85,15105.58,15211.43,15215.44,15030.85
09/10/2021,-217.43,15115.49,15332.92,15349.47,15111.31
09/09/2021,-47.8099999999995,15248.25,15296.06,15352.38,15245.17
09/08/2021,-73.7100000000009,15286.64,15360.35,15360.35,15206.61
09/07/2021,-1.64999999999964,15374.33,15375.98,15403.44,15343.28
09/03/2021,50.1100000000006,15363.52,15313.41,15375.56,15283.67
09/02/2021,-27.2899999999991,15331.18,15358.47,15380.07,15285.35
09/01/2021,0.399999999999636,15309.38,15308.98,15379.5,15302.11
08/31/2021,-3.63999999999942,15259.24,15262.88,15278.96,15202.67
08/30/2021,99.9499999999989,15265.89,15165.94,15288.08,15165.12
